epoch,hamiltonian,kinetic,potential,T/V Ratio
74,0.519798144698143,0.11315885744988918,0.40663928786913556,0.2782782205892164
75,0.5960902571678162,0.19387632111708322,0.4022139335672061,0.48202288617305783
76,0.6760249808430672,0.27312980964779854,0.40289516746997833,0.6779178101413955
77,0.7809333105882009,0.3916051809986432,0.38932813207308453,1.0058486627037042
78,0.7674544850985209,0.3899371139705181,0.3775173674027125,1.032898477368743
79,0.6537497118115425,0.27787786970535916,0.3758718396226565,0.7392888756559284
80,0.5526857102910677,0.19020575859273472,0.3624799499909083,0.524734564208325
81,0.7629014924168587,0.3894877005368471,0.3734137813250224,1.0430458649779555
82,0.6691062326232592,0.3074921630322933,0.36161407455801964,0.8503323976206499
83,0.6853314886490504,0.32855257764458656,0.35677891472975415,0.9208856355579536
